Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.085	0.13	0.2579	0.1944	0.1131	0.6927	0.3121	0.8091	0.1933	
0.085	0.135	0.2579	0.1944	0.1131	0.6927	0.3121	0.8091	0.1933	
0.085	0.14	0.2566	0.1918	0.1116	0.6823	0.3117	0.8039	0.1933	
0.085	0.145	0.2559	0.1905	0.1108	0.6771	0.3115	0.8013	0.1933	
0.085	0.15	0.2559	0.1905	0.1108	0.6771	0.3115	0.8013	0.1933	
0.09	0.04	0.138	0.2308	0.1304	1.0	0.0199	1.0	0.0101	
0.09	0.045	0.138	0.2308	0.1304	1.0	0.0199	1.0	0.0101	
0.09	0.05	0.1387	0.2309	0.1305	1.0	0.0214	1.0	0.0108	
0.09	0.055	0.1394	0.231	0.1306	1.0	0.0229	1.0	0.0116	
0.09	0.06	0.1394	0.2292	0.1296	0.9896	0.0259	0.8947	0.0131	
0.09	0.065	0.1407	0.2295	0.1298	0.9896	0.0289	0.9048	0.0147	
0.09	0.07	0.1407	0.2238	0.1267	0.9583	0.0377	0.7576	0.0193	
0.09	0.075	0.138	0.2157	0.1222	0.9167	0.0433	0.6444	0.0224	
0.09	0.08	0.1394	0.2052	0.1165	0.8594	0.0617	0.6087	0.0325	
0.09	0.085	0.1589	0.205	0.1168	0.8385	0.1072	0.7075	0.058	
0.09	0.09	0.1872	0.2033	0.1164	0.8021	0.1704	0.7654	0.0959	
0.09	0.095	0.2727	0.2151	0.125	0.7708	0.3225	0.8538	0.1988	
0.09	0.1	0.3374	0.2252	0.1327	0.7448	0.4212	0.8796	0.2769	
0.09	0.105	0.3535	0.222	0.1315	0.7135	0.447	0.8758	0.3001	
0.09	0.11	0.3549	0.2173	0.1289	0.6927	0.4513	0.8698	0.3047	
0.09	0.115	0.3535	0.2131	0.1265	0.6771	0.4514	0.8643	0.3055	
0.09	0.12	0.3508	0.2072	0.123	0.6562	0.4504	0.8568	0.3055	
0.09	0.125	0.3495	0.2043	0.1213	0.6458	0.4499	0.8531	0.3055	
0.09	0.13	0.3481	0.2013	0.1196	0.6354	0.4494	0.8495	0.3055	
0.09	0.135	0.3481	0.2013	0.1196	0.6354	0.4494	0.8495	0.3055	
0.09	0.14	0.3468	0.1983	0.1179	0.625	0.4489	0.8458	0.3055	
0.09	0.145	0.3461	0.1969	0.117	0.6198	0.4486	0.844	0.3055	
0.09	0.15	0.3461	0.1969	0.117	0.6198	0.4486	0.844	0.3055	
0.095	0.04	0.1394	0.231	0.1306	1.0	0.0229	1.0	0.0116	
0.095	0.045	0.1407	0.2313	0.1308	1.0	0.026	1.0	0.0131	
0.095	0.05	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.095	0.055	0.1421	0.2316	0.131	1.0	0.029	1.0	0.0147	
0.095	0.06	0.1428	0.2299	0.13	0.9896	0.0334	0.9167	0.017	
0.095	0.065	0.1441	0.2292	0.1297	0.9844	0.0379	0.8929	0.0193	
