Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.89	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.9	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.1	0.13	0.1441	0.232	0.1312	1.0	0.0335	1.0	0.017	
0.11	0.13	0.1589	0.2352	0.1332	1.0	0.0658	1.0	0.034	
0.12	0.13	0.1657	0.2366	0.1342	1.0	0.0802	1.0	0.0418	
0.13	0.13	0.171	0.2378	0.1349	1.0	0.0915	1.0	0.048	
0.14	0.13	0.1764	0.239	0.1357	1.0	0.1027	1.0	0.0541	
0.15	0.13	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.16	0.13	0.1818	0.2402	0.1365	1.0	0.1138	1.0	0.0603	
0.17	0.13	0.1832	0.2405	0.1367	1.0	0.1165	1.0	0.0619	
0.18	0.13	0.1838	0.2406	0.1368	1.0	0.1179	1.0	0.0626	
0.19	0.13	0.1838	0.2406	0.1368	1.0	0.1179	1.0	0.0626	
0.2	0.13	0.1838	0.2406	0.1368	1.0	0.1179	1.0	0.0626	
0.21	0.13	0.1852	0.2409	0.1369	1.0	0.1206	1.0	0.0642	
0.22	0.13	0.1859	0.2411	0.137	1.0	0.122	1.0	0.065	
0.23	0.13	0.1859	0.2411	0.137	1.0	0.122	1.0	0.065	
0.24	0.13	0.1859	0.2411	0.137	1.0	0.122	1.0	0.065	
0.25	0.13	0.1859	0.2411	0.137	1.0	0.122	1.0	0.065	
0.26	0.13	0.1859	0.2411	0.137	1.0	0.122	1.0	0.065	
0.27	0.13	0.1865	0.2412	0.1371	1.0	0.1234	1.0	0.0657	
0.28	0.13	0.1879	0.2415	0.1373	1.0	0.1261	1.0	0.0673	
0.29	0.13	0.1879	0.2415	0.1373	1.0	0.1261	1.0	0.0673	
0.3	0.13	0.1879	0.2415	0.1373	1.0	0.1261	1.0	0.0673	
0.31	0.13	0.1886	0.2417	0.1374	1.0	0.1274	1.0	0.0681	
0.32	0.13	0.1886	0.2417	0.1374	1.0	0.1274	1.0	0.0681	
0.33	0.13	0.1886	0.2417	0.1374	1.0	0.1274	1.0	0.0681	
0.34	0.13	0.1886	0.2417	0.1374	1.0	0.1274	1.0	0.0681	
0.35	0.13	0.1886	0.2417	0.1374	1.0	0.1274	1.0	0.0681	
0.36	0.13	0.1892	0.2418	0.1375	1.0	0.1288	1.0	0.0688	
0.37	0.13	0.1899	0.242	0.1376	1.0	0.1302	1.0	0.0696	
0.38	0.13	0.1899	0.242	0.1376	1.0	0.1302	1.0	0.0696	
0.39	0.13	0.1899	0.242	0.1376	1.0	0.1302	1.0	0.0696	
0.4	0.13	0.1899	0.242	0.1376	1.0	0.1302	1.0	0.0696	
