Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.08	0.135	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.08	0.14	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.08	0.145	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.08	0.15	0.9057	0.6354	0.6354	0.6354	0.9459	0.9459	0.9459	
0.085	0.04	0.8519	0.572	0.4565	0.7656	0.9104	0.9613	0.8647	
0.085	0.045	0.8694	0.6008	0.4966	0.7604	0.9219	0.9614	0.8855	
0.085	0.05	0.8822	0.6154	0.5323	0.7292	0.9304	0.9574	0.9049	
0.085	0.055	0.8902	0.6287	0.5587	0.7188	0.9356	0.9564	0.9157	
0.085	0.06	0.8956	0.6353	0.5794	0.7031	0.9391	0.9545	0.9242	
0.085	0.065	0.8963	0.6298	0.5848	0.6823	0.9397	0.9516	0.9281	
0.085	0.07	0.901	0.6388	0.6047	0.6771	0.9426	0.9512	0.9343	
0.085	0.075	0.9044	0.645	0.6202	0.6719	0.9447	0.9507	0.9389	
0.085	0.08	0.9077	0.6514	0.6368	0.6667	0.9468	0.9502	0.9435	
0.085	0.085	0.9071	0.648	0.635	0.6615	0.9465	0.9494	0.9435	
0.085	0.09	0.9057	0.641	0.6313	0.651	0.9457	0.9479	0.9435	
0.085	0.095	0.9071	0.6425	0.6392	0.6458	0.9466	0.9473	0.9459	
0.085	0.1	0.9091	0.6475	0.6492	0.6458	0.9478	0.9474	0.9482	
0.085	0.105	0.9091	0.6475	0.6492	0.6458	0.9478	0.9474	0.9482	
0.085	0.11	0.9084	0.644	0.6474	0.6406	0.9474	0.9467	0.9482	
0.085	0.115	0.9077	0.6404	0.6455	0.6354	0.9471	0.946	0.9482	
0.085	0.12	0.9098	0.6436	0.6576	0.6302	0.9483	0.9454	0.9513	
0.085	0.125	0.9104	0.6453	0.6612	0.6302	0.9487	0.9455	0.952	
0.085	0.13	0.9098	0.6417	0.6593	0.625	0.9484	0.9447	0.952	
0.085	0.135	0.9098	0.6398	0.6611	0.6198	0.9484	0.9441	0.9528	
0.085	0.14	0.9098	0.6398	0.6611	0.6198	0.9484	0.9441	0.9528	
0.085	0.145	0.9098	0.6398	0.6611	0.6198	0.9484	0.9441	0.9528	
0.085	0.15	0.9091	0.6361	0.6592	0.6146	0.9481	0.9433	0.9528	
0.09	0.04	0.8519	0.572	0.4565	0.7656	0.9104	0.9613	0.8647	
0.09	0.045	0.8694	0.6008	0.4966	0.7604	0.9219	0.9614	0.8855	
0.09	0.05	0.8822	0.6154	0.5323	0.7292	0.9304	0.9574	0.9049	
0.09	0.055	0.8909	0.6301	0.561	0.7188	0.936	0.9564	0.9165	
0.09	0.06	0.8963	0.6368	0.5819	0.7031	0.9395	0.9545	0.925	
0.09	0.065	0.897	0.6313	0.5874	0.6823	0.9401	0.9517	0.9288	
0.09	0.07	0.9017	0.6404	0.6075	0.6771	0.9431	0.9512	0.935	
0.09	0.075	0.9064	0.6499	0.6293	0.6719	0.946	0.9508	0.9412	
0.09	0.08	0.9091	0.653	0.6447	0.6615	0.9477	0.9495	0.9459	
0.09	0.085	0.9077	0.646	0.641	0.651	0.947	0.9481	0.9459	
0.09	0.09	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.09	0.095	0.9077	0.6404	0.6455	0.6354	0.9471	0.946	0.9482	
0.09	0.1	0.9098	0.6455	0.6559	0.6354	0.9483	0.9461	0.9505	
0.09	0.105	0.9098	0.6455	0.6559	0.6354	0.9483	0.9461	0.9505	
0.09	0.11	0.9091	0.6419	0.6541	0.6302	0.9479	0.9454	0.9505	
0.09	0.115	0.9084	0.6383	0.6522	0.625	0.9476	0.9447	0.9505	
0.09	0.12	0.9104	0.6415	0.6648	0.6198	0.9488	0.9441	0.9536	
0.09	0.125	0.9111	0.6432	0.6685	0.6198	0.9492	0.9441	0.9544	
0.09	0.13	0.9104	0.6396	0.6667	0.6146	0.9489	0.9434	0.9544	
0.09	0.135	0.9104	0.6376	0.6686	0.6094	0.9489	0.9427	0.9551	
