Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	20	0.01	16	24	4	0.23	3.74	4451.97	
MLP	8	0.05	128	20	0.01	16	48	1	0.49	4.05	3806.94	
MLP	8	0.05	128	20	0.01	16	48	2	0.3	3.94	4483.68	
MLP	8	0.05	128	20	0.01	16	48	4	0.26	3.67	4629.82	
MLP	8	0.1	128	1	0.01	4	8	1	0.42	4.21	3616.85	
MLP	8	0.1	128	1	0.01	4	8	2	0.31	4.3	3431.84	
MLP	8	0.1	128	1	0.01	4	8	4	0.3	4.24	3485.41	
MLP	8	0.1	128	1	0.01	4	24	1	0.69	4.17	3600.39	
MLP	8	0.1	128	1	0.01	4	24	2	0.33	4.27	3454.22	
MLP	8	0.1	128	1	0.01	4	24	4	0.33	4.39	3260.16	
MLP	8	0.1	128	1	0.01	4	48	1	3.4	5.41	2149.99	
MLP	8	0.1	128	1	0.01	4	48	2	0.47	4.28	3743.44	
MLP	8	0.1	128	1	0.01	4	48	4	0.29	4.15	3639.98	
MLP	8	0.1	128	1	0.01	8	8	1	0.4	4.2	3584.49	
MLP	8	0.1	128	1	0.01	8	8	2	0.31	4.14	3671.54	
MLP	8	0.1	128	1	0.01	8	8	4	0.3	4.07	3819.56	
MLP	8	0.1	128	1	0.01	8	24	1	0.38	4.74	2806.53	
MLP	8	0.1	128	1	0.01	8	24	2	0.38	4.21	3541.31	
MLP	8	0.1	128	1	0.01	8	24	4	0.29	4.88	2648.49	
MLP	8	0.1	128	1	0.01	8	48	1	0.73	4.15	3630.81	
MLP	8	0.1	128	1	0.01	8	48	2	0.47	4.36	3284.4	
MLP	8	0.1	128	1	0.01	8	48	4	0.39	4.29	3405.37	
MLP	8	0.1	128	1	0.01	16	8	1	0.31	4.66	2887.53	
MLP	8	0.1	128	1	0.01	16	8	2	0.33	4.15	3668.82	
MLP	8	0.1	128	1	0.01	16	8	4	0.31	3.95	4013.16	
MLP	8	0.1	128	1	0.01	16	24	1	0.36	4.14	3653.51	
MLP	8	0.1	128	1	0.01	16	24	2	0.35	4.1	3805.32	
MLP	8	0.1	128	1	0.01	16	24	4	0.32	4.37	3266.22	
MLP	8	0.1	128	1	0.01	16	48	1	0.48	4.24	3464.03	
MLP	8	0.1	128	1	0.01	16	48	2	0.7	4.0	3893.88	
MLP	8	0.1	128	1	0.01	16	48	4	0.35	4.23	3482.77	
MLP	8	0.1	128	5	0.01	4	8	1	0.41	4.01	3896.42	
MLP	8	0.1	128	5	0.01	4	8	2	0.3	3.9	4113.47	
MLP	8	0.1	128	5	0.01	4	8	4	0.29	3.87	4163.93	
MLP	8	0.1	128	5	0.01	4	24	1	0.55	4.21	3537.75	
MLP	8	0.1	128	5	0.01	4	24	2	0.34	3.95	4017.12	
MLP	8	0.1	128	5	0.01	4	24	4	0.33	4.04	3828.2	
MLP	8	0.1	128	5	0.01	4	48	1	1.19	4.18	3580.68	
MLP	8	0.1	128	5	0.01	4	48	2	0.41	4.12	3678.39	
MLP	8	0.1	128	5	0.01	4	48	4	0.35	3.92	4060.21	
MLP	8	0.1	128	5	0.01	8	8	1	0.29	3.95	3987.83	
MLP	8	0.1	128	5	0.01	8	8	2	0.34	4.08	3742.68	
MLP	8	0.1	128	5	0.01	8	8	4	0.31	4.02	3859.53	
MLP	8	0.1	128	5	0.01	8	24	1	0.51	4.23	3493.38	
MLP	8	0.1	128	5	0.01	8	24	2	0.35	3.85	4221.27	
MLP	8	0.1	128	5	0.01	8	24	4	0.32	4.19	3569.36	
MLP	8	0.1	128	5	0.01	8	48	1	0.75	4.06	3794.68	
MLP	8	0.1	128	5	0.01	8	48	2	0.41	4.06	3786.22	
MLP	8	0.1	128	5	0.01	8	48	4	0.35	4.02	3853.17	
MLP	8	0.1	128	5	0.01	16	8	1	0.33	3.98	3938.98	
MLP	8	0.1	128	5	0.01	16	8	2	0.29	4.3	3366.65	
MLP	8	0.1	128	5	0.01	16	8	4	0.31	4.14	3642.13	
MLP	8	0.1	128	5	0.01	16	24	1	0.52	3.88	4160.16	
MLP	8	0.1	128	5	0.01	16	24	2	0.35	4.14	3645.84	
MLP	8	0.1	128	5	0.01	16	24	4	0.32	3.97	3954.54	
MLP	8	0.1	128	5	0.01	16	48	1	0.59	4.02	3866.35	
MLP	8	0.1	128	5	0.01	16	48	2	0.38	3.99	3904.09	
MLP	8	0.1	128	5	0.01	16	48	4	0.38	4.4	3224.64	
MLP	8	0.1	128	10	0.01	4	8	1	0.33	3.93	4028.81	
MLP	8	0.1	128	10	0.01	4	8	2	0.31	4.13	3662.1	
MLP	8	0.1	128	10	0.01	4	8	4	0.31	3.86	4176.14	
MLP	8	0.1	128	10	0.01	4	24	1	0.43	3.91	4074.11	
MLP	8	0.1	128	10	0.01	4	24	2	0.37	3.91	4064.24	
MLP	8	0.1	128	10	0.01	4	24	4	0.31	3.92	4052.86	
MLP	8	0.1	128	10	0.01	4	48	1	1.02	4.26	3427.01	
MLP	8	0.1	128	10	0.01	4	48	2	0.56	3.89	4124.34	
MLP	8	0.1	128	10	0.01	4	48	4	0.33	4.54	3185.53	
MLP	8	0.1	128	10	0.01	8	8	1	0.39	4.03	3827.95	
MLP	8	0.1	128	10	0.01	8	8	2	0.31	3.98	3931.17	
MLP	8	0.1	128	10	0.01	8	8	4	0.35	4.12	3669.43	
MLP	8	0.1	128	10	0.01	8	24	1	0.35	4.13	3648.2	
MLP	8	0.1	128	10	0.01	8	24	2	0.33	4.11	3680.64	
MLP	8	0.1	128	10	0.01	8	24	4	0.33	3.99	3913.57	
MLP	8	0.1	128	10	0.01	8	48	1	1.04	4.07	3817.14	
MLP	8	0.1	128	10	0.01	8	48	2	0.49	3.96	3969.42	
MLP	8	0.1	128	10	0.01	8	48	4	0.36	4.54	3403.03	
MLP	8	0.1	128	10	0.01	16	8	1	0.37	3.88	4131.97	
MLP	8	0.1	128	10	0.01	16	8	2	0.32	3.86	4191.49	
MLP	8	0.1	128	10	0.01	16	8	4	0.3	4.05	3806.06	
MLP	8	0.1	128	10	0.01	16	24	1	0.33	4.07	3750.99	
MLP	8	0.1	128	10	0.01	16	24	2	0.35	4.07	3759.43	
MLP	8	0.1	128	10	0.01	16	24	4	0.32	4.14	3636.27	
MLP	8	0.1	128	10	0.01	16	48	1	0.82	4.62	3157.7	
MLP	8	0.1	128	10	0.01	16	48	2	0.45	4.0	3886.05	
MLP	8	0.1	128	10	0.01	16	48	4	0.34	4.03	3842.53	
MLP	8	0.1	128	20	0.01	4	8	1	0.31	3.98	3922.68	
MLP	8	0.1	128	20	0.01	4	8	2	0.31	4.02	3856.72	
MLP	8	0.1	128	20	0.01	4	8	4	0.3	4.11	3678.55	
MLP	8	0.1	128	20	0.01	4	24	1	0.6	4.01	3864.28	
MLP	8	0.1	128	20	0.01	4	24	2	0.36	4.16	3591.56	
MLP	8	0.1	128	20	0.01	4	24	4	0.33	3.97	3954.98	
MLP	8	0.1	128	20	0.01	4	48	1	17.9	3.94	4003.2	
MLP	8	0.1	128	20	0.01	4	48	2	0.53	3.97	3958.17	
MLP	8	0.1	128	20	0.01	4	48	4	0.37	3.96	3972.32	
MLP	8	0.1	128	20	0.01	8	8	1	0.38	4.02	3849.83	
MLP	8	0.1	128	20	0.01	8	8	2	0.33	3.98	3939.11	
MLP	8	0.1	128	20	0.01	8	8	4	0.3	4.01	3875.39	
MLP	8	0.1	128	20	0.01	8	24	1	0.47	3.99	3916.27	
MLP	8	0.1	128	20	0.01	8	24	2	0.33	3.92	4041.81	
MLP	8	0.1	128	20	0.01	8	24	4	0.29	3.84	4229.12	
MLP	8	0.1	128	20	0.01	8	48	1	2.73	4.12	3664.14	
MLP	8	0.1	128	20	0.01	8	48	2	0.43	4.1	3700.11	
MLP	8	0.1	128	20	0.01	8	48	4	0.32	3.91	4071.98	
MLP	8	0.1	128	20	0.01	16	8	1	0.35	4.06	3776.82	
MLP	8	0.1	128	20	0.01	16	8	2	0.35	3.96	3974.62	
MLP	8	0.1	128	20	0.01	16	8	4	0.34	3.83	4254.67	
MLP	8	0.1	128	20	0.01	16	24	1	0.37	3.87	4148.1	
MLP	8	0.1	128	20	0.01	16	24	2	0.42	4.08	3736.4	
MLP	8	0.1	128	20	0.01	16	24	4	0.3	3.85	4193.0	
MLP	8	0.1	128	20	0.01	16	48	1	0.56	4.06	3784.08	
MLP	8	0.1	128	20	0.01	16	48	2	0.42	3.83	4255.63	
MLP	8	0.1	128	20	0.01	16	48	4	0.38	4.36	3396.16	
MLP	8	0.5	128	1	0.01	4	8	1	0.96	7.35	1164.85	
MLP	8	0.5	128	1	0.01	4	8	2	0.93	6.8	1353.06	
MLP	8	0.5	128	1	0.01	4	8	4	0.95	7.38	1154.28	
MLP	8	0.5	128	1	0.01	4	24	1	1.09	6.36	1547.27	
MLP	8	0.5	128	1	0.01	4	24	2	0.93	6.54	1461.62	
MLP	8	0.5	128	1	0.01	4	24	4	0.91	6.73	1399.69	
MLP	8	0.5	128	1	0.01	4	48	1	1.54	6.93	1299.48	
MLP	8	0.5	128	1	0.01	4	48	2	0.99	7.39	1143.48	
MLP	8	0.5	128	1	0.01	4	48	4	0.91	7.16	1216.63	
MLP	8	0.5	128	1	0.01	8	8	1	0.94	7.74	1050.51	
MLP	8	0.5	128	1	0.01	8	8	2	0.92	6.7	1398.86	
MLP	8	0.5	128	1	0.01	8	8	4	0.91	7.01	1270.37	
MLP	8	0.5	128	1	0.01	8	24	1	1.01	7.91	1002.51	
MLP	8	0.5	128	1	0.01	8	24	2	0.94	6.7	1392.73	
MLP	8	0.5	128	1	0.01	8	24	4	0.95	6.47	1500.73	
MLP	8	0.5	128	1	0.01	8	48	1	1.9	5.15	2363.35	
MLP	8	0.5	128	1	0.01	8	48	2	1.07	6.7	1392.84	
MLP	8	0.5	128	1	0.01	8	48	4	0.97	6.46	1501.21	
MLP	8	0.5	128	1	0.01	16	8	1	0.97	6.97	1284.22	
MLP	8	0.5	128	1	0.01	16	8	2	2.51	5.47	339442.92	
MLP	8	0.5	128	1	0.01	16	8	4	0.96	6.58	1440.48	
MLP	8	0.5	128	1	0.01	16	24	1	0.95	6.62	1425.3	
MLP	8	0.5	128	1	0.01	16	24	2	0.94	7.29	1171.42	
MLP	8	0.5	128	1	0.01	16	24	4	0.94	7.02	1264.19	
MLP	8	0.5	128	1	0.01	16	48	1	1.06	6.54	1459.09	
MLP	8	0.5	128	1	0.01	16	48	2	1.03	6.44	1504.09	
MLP	8	0.5	128	1	0.01	16	48	4	0.99	6.65	1410.69	
MLP	8	0.5	128	5	0.01	4	8	1	0.95	6.81	1341.84	
MLP	8	0.5	128	5	0.01	4	8	2	0.93	6.88	1316.7	
MLP	8	0.5	128	5	0.01	4	8	4	0.97	6.66	1405.88	
MLP	8	0.5	128	5	0.01	4	24	1	1.03	6.99	1274.29	
MLP	8	0.5	128	5	0.01	4	24	2	0.91	6.76	1364.47	
MLP	8	0.5	128	5	0.01	4	24	4	0.94	6.74	1370.45	
MLP	8	0.5	128	5	0.01	4	48	1	3.82	6.83	1340.0	
MLP	8	0.5	128	5	0.01	4	48	2	1.06	7.03	1261.51	
MLP	8	0.5	128	5	0.01	4	48	4	0.98	6.95	1292.4	
MLP	8	0.5	128	5	0.01	8	8	1	0.98	6.65	1407.81	
MLP	8	0.5	128	5	0.01	8	8	2	0.93	6.73	1374.41	
MLP	8	0.5	128	5	0.01	8	8	4	0.93	7.21	1197.53	
MLP	8	0.5	128	5	0.01	8	24	1	0.98	6.74	1368.4	
MLP	8	0.5	128	5	0.01	8	24	2	0.94	6.72	1377.58	
MLP	8	0.5	128	5	0.01	8	24	4	0.94	6.74	1374.04	
MLP	8	0.5	128	5	0.01	8	48	1	1.38	6.79	1349.72	
MLP	8	0.5	128	5	0.01	8	48	2	0.99	7.09	1239.79	
MLP	8	0.5	128	5	0.01	8	48	4	0.97	6.77	1360.28	
MLP	8	0.5	128	5	0.01	16	8	1	0.93	6.85	1326.64	
MLP	8	0.5	128	5	0.01	16	8	2	0.96	6.61	1425.79	
MLP	8	0.5	128	5	0.01	16	8	4	0.92	6.89	1312.81	
MLP	8	0.5	128	5	0.01	16	24	1	1.01	7.0	1271.09	
MLP	8	0.5	128	5	0.01	16	24	2	0.94	7.11	1230.96	
MLP	8	0.5	128	5	0.01	16	24	4	0.91	6.94	1297.54	
MLP	8	0.5	128	5	0.01	16	48	1	1.04	6.97	1282.14	
MLP	8	0.5	128	5	0.01	16	48	2	1.04	6.87	1317.25	
MLP	8	0.5	128	5	0.01	16	48	4	0.94	6.9	1305.73	
MLP	8	0.5	128	10	0.01	4	8	1	0.98	6.96	1283.37	
MLP	8	0.5	128	10	0.01	4	8	2	0.93	6.93	1294.66	
MLP	8	0.5	128	10	0.01	4	8	4	0.94	6.95	1287.29	
MLP	8	0.5	128	10	0.01	4	24	1	0.97	6.76	1363.27	
MLP	8	0.5	128	10	0.01	4	24	2	0.93	6.7	1384.6	
MLP	8	0.5	128	10	0.01	4	24	4	0.91	6.84	1330.85	
MLP	8	0.5	128	10	0.01	4	48	1	2.85	7.11	1231.01	
MLP	8	0.5	128	10	0.01	4	48	2	0.99	6.95	1289.34	
MLP	8	0.5	128	10	0.01	4	48	4	0.94	6.98	1277.02	
MLP	8	0.5	128	10	0.01	8	8	1	0.91	6.77	1356.77	
MLP	8	0.5	128	10	0.01	8	8	2	0.93	6.66	1404.67	
MLP	8	0.5	128	10	0.01	8	8	4	0.9	6.91	1302.91	
MLP	8	0.5	128	10	0.01	8	24	1	0.99	6.96	1284.16	
MLP	8	0.5	128	10	0.01	8	24	2	0.93	6.61	1433.04	
MLP	8	0.5	128	10	0.01	8	24	4	0.93	6.86	1323.65	
MLP	8	0.5	128	10	0.01	8	48	1	1.54	6.95	1288.25	
MLP	8	0.5	128	10	0.01	8	48	2	1.05	6.79	1350.06	
MLP	8	0.5	128	10	0.01	8	48	4	0.94	6.89	1311.75	
MLP	8	0.5	128	10	0.01	16	8	1	0.92	6.81	1343.64	
MLP	8	0.5	128	10	0.01	16	8	2	0.91	6.92	1300.17	
MLP	8	0.5	128	10	0.01	16	8	4	0.93	6.49	1476.05	
MLP	8	0.5	128	10	0.01	16	24	1	0.99	6.88	1314.59	
MLP	8	0.5	128	10	0.01	16	24	2	0.96	6.79	1349.09	
MLP	8	0.5	128	10	0.01	16	24	4	0.91	6.81	1340.35	
MLP	8	0.5	128	10	0.01	16	48	1	1.0	7.14	1219.45	
MLP	8	0.5	128	10	0.01	16	48	2	1.01	6.54	1456.55	
MLP	8	0.5	128	10	0.01	16	48	4	0.96	6.93	1297.53	
MLP	8	0.5	128	20	0.01	4	8	1	0.97	6.76	1361.7	
MLP	8	0.5	128	20	0.01	4	8	2	0.96	6.82	1345.15	
MLP	8	0.5	128	20	0.01	4	8	4	0.95	6.91	1303.84	
MLP	8	0.5	128	20	0.01	4	24	1	1.01	6.8	1344.53	
MLP	8	0.5	128	20	0.01	4	24	2	0.94	6.7	1384.48	
MLP	8	0.5	128	20	0.01	4	24	4	0.92	6.86	1326.3	
MLP	8	0.5	128	20	0.01	4	48	1	1.81	7.04	1255.11	
MLP	8	0.5	128	20	0.01	4	48	2	1.03	6.44	1500.32	
MLP	8	0.5	128	20	0.01	4	48	4	0.93	6.76	1363.44	
MLP	8	0.5	128	20	0.01	8	8	1	0.93	6.84	1329.35	
MLP	8	0.5	128	20	0.01	8	8	2	0.91	6.95	1288.93	
MLP	8	0.5	128	20	0.01	8	8	4	0.95	7.0	1271.03	
MLP	8	0.5	128	20	0.01	8	24	1	0.97	6.98	1278.06	
MLP	8	0.5	128	20	0.01	8	24	2	0.93	6.95	1289.44	
MLP	8	0.5	128	20	0.01	8	24	4	0.91	6.88	1314.53	
MLP	8	0.5	128	20	0.01	8	48	1	1.13	6.66	1401.45	
MLP	8	0.5	128	20	0.01	8	48	2	1.04	6.84	1328.87	
MLP	8	0.5	128	20	0.01	8	48	4	0.94	6.93	1304.18	
MLP	8	0.5	128	20	0.01	16	8	1	0.97	6.8	1366.47	
MLP	8	0.5	128	20	0.01	16	8	2	0.93	6.92	1298.42	
MLP	8	0.5	128	20	0.01	16	8	4	0.92	6.83	1332.98	
MLP	8	0.5	128	20	0.01	16	24	1	0.93	6.72	1398.79	
MLP	8	0.5	128	20	0.01	16	24	2	1.0	7.07	1245.13	
MLP	8	0.5	128	20	0.01	16	24	4	0.92	7.01	1266.69	
MLP	8	0.5	128	20	0.01	16	48	1	1.07	6.66	1402.95	
MLP	8	0.5	128	20	0.01	16	48	2	1.06	6.58	1437.86	
MLP	8	0.5	128	20	0.01	16	48	4	0.98	7.07	1257.6	
