Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.5	128	5	0.0005	4	24	4	1.14	6.94	1306.38	
MLP	8	0.5	128	5	0.0005	4	48	1	0.97	7.26	1196.17	
MLP	8	0.5	128	5	0.0005	4	48	2	1.05	6.84	1347.99	
MLP	8	0.5	128	5	0.0005	4	48	4	1.03	6.92	1318.54	
MLP	8	0.5	128	5	0.0005	8	8	1	1.3	6.91	1316.61	
MLP	8	0.5	128	5	0.0005	8	8	2	1.34	7.06	1258.61	
MLP	8	0.5	128	5	0.0005	8	8	4	1.74	6.98	1292.95	
MLP	8	0.5	128	5	0.0005	8	24	1	1.03	6.54	1465.72	
MLP	8	0.5	128	5	0.0005	8	24	2	1.15	6.99	1292.67	
MLP	8	0.5	128	5	0.0005	8	24	4	1.11	7.12	1244.31	
MLP	8	0.5	128	5	0.0005	8	48	1	0.94	6.62	1437.67	
MLP	8	0.5	128	5	0.0005	8	48	2	0.98	7.2	1215.75	
MLP	8	0.5	128	5	0.0005	8	48	4	1.01	7.09	1244.2	
MLP	8	0.5	128	5	0.0005	16	8	1	1.34	6.87	1330.83	
MLP	8	0.5	128	5	0.0005	16	8	2	1.37	7.02	1266.82	
MLP	8	0.5	128	5	0.0005	16	8	4	1.41	6.95	1291.08	
MLP	8	0.5	128	5	0.0005	16	24	1	1.06	6.95	1315.71	
MLP	8	0.5	128	5	0.0005	16	24	2	0.99	6.68	1404.31	
MLP	8	0.5	128	5	0.0005	16	24	4	1.22	6.77	1369.87	
MLP	8	0.5	128	5	0.0005	16	48	1	0.95	7.65	1079.33	
MLP	8	0.5	128	5	0.0005	16	48	2	0.94	7.43	1145.5	
MLP	8	0.5	128	5	0.0005	16	48	4	0.97	6.94	1305.49	
MLP	8	0.5	128	10	0.0005	4	8	1	1.37	6.81	1352.4	
MLP	8	0.5	128	10	0.0005	4	8	2	1.43	6.71	1396.4	
MLP	8	0.5	128	10	0.0005	4	8	4	1.39	6.99	1279.0	
MLP	8	0.5	128	10	0.0005	4	24	1	1.07	6.7	1400.24	
