Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.024	0.062	0.3407	0.2807	0.1634	0.9948	0.3915	0.9968	0.2436	0.4930548410579956
0.024	0.064	0.3407	0.2807	0.1634	0.9948	0.3915	0.9968	0.2436	0.4930548410579956
0.024	0.066	0.3414	0.2809	0.1635	0.9948	0.3925	0.9968	0.2444	0.4932368995633188
0.024	0.068	0.3414	0.2809	0.1635	0.9948	0.3925	0.9968	0.2444	0.4932368995633188
0.024	0.07	0.3414	0.2809	0.1635	0.9948	0.3925	0.9968	0.2444	0.4932368995633188
0.024	0.07200000000000001	0.3407	0.2796	0.1628	0.9896	0.3923	0.9937	0.2444	0.4909400292540225
0.024	0.07400000000000001	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.076	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.078	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.08	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.08199999999999999	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.084	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.086	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.08800000000000001	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.09	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.092	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.094	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.096	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.098	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.1	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.102	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.104	0.3401	0.2784	0.1621	0.9844	0.3921	0.9906	0.2444	0.4886429446349829
0.024	0.106	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.108	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.11	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.112	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.114	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.116	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.118	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.12	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.122	0.3394	0.2771	0.1614	0.9792	0.3918	0.9875	0.2444	0.4863456425406203
0.024	0.124	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.126	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.128	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.13	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.132	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
0.024	0.134	0.3401	0.2773	0.1615	0.9792	0.3928	0.9875	0.2452	0.4865271966527197
