Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.095	0.08	0.7145	0.4508	0.3	0.9062	0.8071	0.9801	0.686	
0.095	0.085	0.7354	0.4668	0.3156	0.8958	0.824	0.9787	0.7115	
0.095	0.09	0.7488	0.4798	0.3276	0.8958	0.8344	0.9792	0.727	
0.095	0.095	0.7684	0.4985	0.3462	0.8906	0.8494	0.9788	0.7502	
0.095	0.1	0.7818	0.5106	0.3596	0.8802	0.8596	0.9773	0.7672	
0.095	0.105	0.7912	0.5216	0.3706	0.8802	0.8665	0.9776	0.778	
0.095	0.11	0.7939	0.5219	0.3728	0.8698	0.8687	0.9759	0.7827	
0.095	0.115	0.7946	0.5182	0.3719	0.8542	0.8695	0.9732	0.7858	
0.095	0.12	0.7946	0.5166	0.3713	0.849	0.8696	0.9723	0.7865	
0.095	0.125	0.796	0.5183	0.373	0.849	0.8706	0.9723	0.7881	
0.095	0.13	0.7953	0.5159	0.3716	0.8438	0.8702	0.9714	0.7881	
0.095	0.135	0.7933	0.5088	0.3672	0.8281	0.8691	0.9686	0.7881	
0.095	0.14	0.7926	0.5064	0.3657	0.8229	0.8687	0.9677	0.7881	
0.095	0.145	0.7919	0.504	0.3643	0.8177	0.8683	0.9668	0.7881	
0.095	0.15	0.7926	0.5048	0.3651	0.8177	0.8688	0.9668	0.7889	
0.1	0.04	0.4593	0.3178	0.1898	0.974	0.5521	0.99	0.3828	
0.1	0.045	0.4923	0.3316	0.1998	0.974	0.5907	0.9909	0.4207	
0.1	0.05	0.5185	0.341	0.2072	0.9635	0.6207	0.9882	0.4524	
0.1	0.055	0.5589	0.3585	0.2207	0.9531	0.6639	0.9863	0.5004	
0.1	0.06	0.6027	0.3776	0.2368	0.9323	0.7082	0.9822	0.5538	
0.1	0.065	0.6364	0.396	0.2521	0.9219	0.7399	0.9808	0.594	
0.1	0.07	0.6673	0.4147	0.2684	0.9115	0.7676	0.9796	0.6311	
0.1	0.075	0.6997	0.4397	0.2897	0.9115	0.7948	0.9807	0.6682	
0.1	0.08	0.7172	0.4531	0.3021	0.9062	0.8093	0.9802	0.6891	
0.1	0.085	0.7387	0.4699	0.3185	0.8958	0.8266	0.9788	0.7154	
0.1	0.09	0.7549	0.4844	0.3327	0.8906	0.8392	0.9784	0.7347	
0.1	0.095	0.7791	0.509	0.3571	0.8854	0.8575	0.9782	0.7633	
0.1	0.1	0.7953	0.525	0.375	0.875	0.8695	0.9769	0.7834	
0.1	0.105	0.8067	0.5393	0.3898	0.875	0.8777	0.9772	0.7966	
0.1	0.11	0.8114	0.5425	0.3952	0.8646	0.8813	0.9756	0.8036	
0.1	0.115	0.8128	0.5397	0.3956	0.849	0.8825	0.973	0.8074	
0.1	0.12	0.8135	0.5391	0.3961	0.8438	0.8831	0.9721	0.809	
0.1	0.125	0.8148	0.5409	0.398	0.8438	0.884	0.9722	0.8105	
0.1	0.13	0.8141	0.5385	0.3966	0.8385	0.8836	0.9713	0.8105	
0.1	0.135	0.8108	0.5261	0.389	0.8125	0.8818	0.9668	0.8105	
0.1	0.14	0.8101	0.5236	0.3875	0.8073	0.8814	0.9659	0.8105	
0.1	0.145	0.8094	0.5212	0.386	0.8021	0.881	0.965	0.8105	
0.1	0.15	0.8101	0.522	0.3869	0.8021	0.8815	0.965	0.8113	
0.105	0.04	0.4593	0.3178	0.1898	0.974	0.5521	0.99	0.3828	
0.105	0.045	0.4923	0.3316	0.1998	0.974	0.5907	0.9909	0.4207	
0.105	0.05	0.5185	0.341	0.2072	0.9635	0.6207	0.9882	0.4524	
0.105	0.055	0.5582	0.3569	0.2198	0.9479	0.6636	0.9848	0.5004	
0.105	0.06	0.602	0.3759	0.2358	0.9271	0.7079	0.9808	0.5538	
0.105	0.065	0.6364	0.3946	0.2514	0.9167	0.7401	0.9796	0.5947	
0.105	0.07	0.6673	0.4133	0.2677	0.9062	0.7679	0.9784	0.6319	
0.105	0.075	0.6997	0.4383	0.289	0.9062	0.795	0.9796	0.669	
0.105	0.08	0.7199	0.4541	0.3035	0.901	0.8116	0.9792	0.693	
