Path	Red F1
LOSS0.24_8DBS3.78_8CHS4408.34_LATENT8_STDEV0.05_BS128_E10_LR0.0005_KS16_F24_S4	0.5706	
LOSS0.24_8DBS3.79_8CHS4334.96_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS4_F8_S4	0.6667	
LOSS0.24_8DBS3.82_8CHS4280.55_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS4_F24_S1	0.6649	
LOSS0.24_8DBS3.82_8CHS4384.54_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS4_F24_S2	0.2287	
LOSS0.24_8DBS3.84_8CHS4219.66_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS16_F8_S4	0.6215	
LOSS0.24_8DBS3.8_8CHS4328.11_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F24_S1	0.444	
LOSS0.24_8DBS3.91_8CHS4199.33_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS4_F24_S1	0.4196	
LOSS0.24_8DBS3.94_8CHS4017.15_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS16_F8_S1	0.652	
LOSS0.24_8DBS3.94_8CHS4037.07_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F48_S4	0.5609	
LOSS0.24_8DBS3.96_8CHS3998.04_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS4_F24_S1	0.6196	
LOSS0.24_8DBS3.99_8CHS3964.17_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS4_F24_S2	0.6486	
LOSS0.24_8DBS3.99_8CHS4032.69_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS8_F24_S2	0.2287	
LOSS0.24_8DBS4.02_8CHS3927.07_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS4_F24_S2	0.2287	
LOSS0.24_8DBS4.04_8CHS3904.44_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS16_F8_S1	0.6176	
LOSS0.24_8DBS4.05_8CHS3965.4_LATENT8_STDEV0.05_BS128_E10_LR0.0005_KS8_F24_S1	0.2287	
LOSS0.24_8DBS4.12_8CHS3731.54_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS4_F24_S1	0.6358	
LOSS0.24_8DBS4.12_8CHS3781.52_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS4_F48_S4	0.2287	
LOSS0.24_8DBS4.19_8CHS3780.95_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS4_F8_S2	0.2591	
LOSS0.24_8DBS4.22_8CHS3511.47_LATENT8_STDEV0.05_BS128_E20_LR0.0005_KS16_F48_S2	0.2287	
LOSS0.24_8DBS4.32_8CHS3818.81_LATENT8_STDEV0.05_BS128_E10_LR0.0005_KS4_F48_S1	0.2287	
LOSS0.24_8DBS4.33_8CHS3587.97_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS4_F48_S2	0.2443	
LOSS0.24_8DBS4.36_8CHS3349.69_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS8_F8_S2	0.2287	
LOSS0.24_8DBS4.39_8CHS3355.03_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS16_F24_S4	0.2287	
LOSS0.25_8DBS3.42_8CHS5470.36_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS8_F24_S1	0.2287	
LOSS0.25_8DBS3.56_8CHS5013.36_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS16_F24_S4	0.2287	
LOSS0.25_8DBS3.63_8CHS4733.61_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS8_F24_S1	0.6413	
LOSS0.25_8DBS3.63_8CHS4798.55_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS4_F48_S2	0.2287	
LOSS0.25_8DBS3.64_8CHS4782.81_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS4_F24_S1	0.2287	
LOSS0.25_8DBS3.68_8CHS4700.01_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS8_F24_S1	0.2287	
LOSS0.25_8DBS3.71_8CHS4520.22_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS8_F8_S2	0.6496	
LOSS0.25_8DBS3.71_8CHS4522.59_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS4_F8_S1	0.6302	
LOSS0.25_8DBS3.71_8CHS4527.75_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS4_F24_S2	0.5915	
