Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.07	0.04	0.9166	0.631	0.7361	0.5521	0.953	0.936	0.9707	
0.07	0.045	0.9139	0.5493	0.8478	0.4062	0.9524	0.9183	0.9892	
0.07	0.05	0.9132	0.5132	0.9315	0.3542	0.9524	0.9123	0.9961	
0.07	0.055	0.9065	0.4462	0.9492	0.2917	0.949	0.9048	0.9977	
0.07	0.06	0.9032	0.4146	0.9444	0.2656	0.9472	0.9016	0.9977	
0.07	0.065	0.9011	0.3951	0.9412	0.25	0.9462	0.8997	0.9977	
0.07	0.07	0.8978	0.3613	0.9348	0.224	0.9444	0.8966	0.9977	
0.07	0.075	0.8964	0.3419	0.9524	0.2083	0.9438	0.8948	0.9985	
0.07	0.08	0.8971	0.3433	0.9756	0.2083	0.9442	0.8949	0.9992	
0.07	0.085	0.8964	0.3362	0.975	0.2031	0.9438	0.8943	0.9992	
0.07	0.09	0.8958	0.329	0.9744	0.1979	0.9435	0.8936	0.9992	
0.07	0.095	0.8944	0.3144	0.973	0.1875	0.9428	0.8924	0.9992	
0.07	0.1	0.8937	0.307	0.9722	0.1823	0.9425	0.8918	0.9992	
0.075	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.075	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.075	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.075	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.075	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.075	0.035	0.8756	0.5843	0.5138	0.6771	0.9268	0.9498	0.905	
0.075	0.04	0.9166	0.6287	0.7394	0.5469	0.953	0.9353	0.9714	
0.075	0.045	0.9126	0.5357	0.8523	0.3906	0.9517	0.9164	0.99	
0.075	0.05	0.9119	0.4981	0.942	0.3385	0.9517	0.9104	0.9969	
0.075	0.055	0.9052	0.4291	0.9636	0.276	0.9483	0.9029	0.9985	
0.075	0.06	0.9018	0.3967	0.96	0.25	0.9466	0.8998	0.9985	
0.075	0.065	0.8998	0.3766	0.9574	0.2344	0.9455	0.8979	0.9985	
0.075	0.07	0.8958	0.3348	0.9512	0.2031	0.9435	0.8942	0.9985	
0.075	0.075	0.8944	0.3144	0.973	0.1875	0.9428	0.8924	0.9992	
0.075	0.08	0.8944	0.3084	1.0	0.1823	0.9428	0.8919	1.0	
0.075	0.085	0.8937	0.3009	1.0	0.1771	0.9425	0.8913	1.0	
0.075	0.09	0.8931	0.2933	1.0	0.1719	0.9422	0.8906	1.0	
0.075	0.095	0.8917	0.278	1.0	0.1615	0.9415	0.8894	1.0	
0.075	0.1	0.8911	0.2703	1.0	0.1562	0.9411	0.8888	1.0	
0.08	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.08	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.08	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.08	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.08	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.08	0.035	0.8756	0.5843	0.5138	0.6771	0.9268	0.9498	0.905	
0.08	0.04	0.9159	0.6246	0.7376	0.5417	0.9527	0.9346	0.9714	
0.08	0.045	0.9112	0.5252	0.8488	0.3802	0.951	0.9151	0.99	
0.08	0.05	0.9106	0.4865	0.9403	0.3281	0.951	0.9092	0.9969	
0.08	0.055	0.9038	0.4163	0.9623	0.2656	0.9476	0.9017	0.9985	
0.08	0.06	0.9005	0.3833	0.9583	0.2396	0.9459	0.8985	0.9985	
0.08	0.065	0.8985	0.3629	0.9556	0.224	0.9448	0.8967	0.9985	
0.08	0.07	0.8937	0.313	0.9474	0.1875	0.9424	0.8923	0.9985	
0.08	0.075	0.8917	0.2844	0.9697	0.1667	0.9414	0.89	0.9992	
0.08	0.08	0.8911	0.2703	1.0	0.1562	0.9411	0.8888	1.0	
0.08	0.085	0.8904	0.2624	1.0	0.151	0.9408	0.8882	1.0	
0.08	0.09	0.8897	0.2545	1.0	0.1458	0.9405	0.8876	1.0	
0.08	0.095	0.8884	0.2385	1.0	0.1354	0.9398	0.8864	1.0	
0.08	0.1	0.8877	0.2304	1.0	0.1302	0.9394	0.8858	1.0	
0.085	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.085	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.085	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.085	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.085	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.085	0.035	0.8756	0.5843	0.5138	0.6771	0.9268	0.9498	0.905	
0.085	0.04	0.9153	0.6205	0.7357	0.5365	0.9523	0.9339	0.9714	
0.085	0.045	0.9099	0.5145	0.8452	0.3698	0.9503	0.9138	0.99	
0.085	0.05	0.9092	0.4747	0.9385	0.3177	0.9503	0.9079	0.9969	
0.085	0.055	0.9018	0.3967	0.96	0.25	0.9466	0.8998	0.9985	
0.085	0.06	0.8978	0.3559	0.9545	0.2188	0.9445	0.896	0.9985	
0.085	0.065	0.8958	0.3348	0.9512	0.2031	0.9435	0.8942	0.9985	
0.085	0.07	0.8911	0.2832	0.9412	0.1667	0.941	0.8899	0.9985	
0.085	0.075	0.889	0.2534	0.9655	0.1458	0.9401	0.8875	0.9992	
0.085	0.08	0.8884	0.2385	1.0	0.1354	0.9398	0.8864	1.0	
0.085	0.085	0.8877	0.2304	1.0	0.1302	0.9394	0.8858	1.0	
0.085	0.09	0.887	0.2222	1.0	0.125	0.9391	0.8852	1.0	
0.085	0.095	0.8857	0.2056	1.0	0.1146	0.9384	0.884	1.0	
0.085	0.1	0.885	0.1972	1.0	0.1094	0.9381	0.8834	1.0	
0.09	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.09	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.09	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.09	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.09	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.09	0.035	0.8756	0.5843	0.5138	0.6771	0.9268	0.9498	0.905	
0.09	0.04	0.9153	0.6205	0.7357	0.5365	0.9523	0.9339	0.9714	
0.09	0.045	0.9092	0.5091	0.8434	0.3646	0.95	0.9131	0.99	
0.09	0.05	0.9085	0.4688	0.9375	0.3125	0.95	0.9072	0.9969	
0.09	0.055	0.9011	0.39	0.9592	0.2448	0.9462	0.8992	0.9985	
0.09	0.06	0.8964	0.3419	0.9524	0.2083	0.9438	0.8948	0.9985	
0.09	0.065	0.8937	0.313	0.9474	0.1875	0.9424	0.8923	0.9985	
0.09	0.07	0.889	0.2601	0.9355	0.151	0.94	0.888	0.9985	
0.09	0.075	0.887	0.2294	0.9615	0.1302	0.939	0.8857	0.9992	
0.09	0.08	0.8863	0.214	1.0	0.1198	0.9387	0.8846	1.0	
0.09	0.085	0.8857	0.2056	1.0	0.1146	0.9384	0.884	1.0	
0.09	0.09	0.885	0.1972	1.0	0.1094	0.9381	0.8834	1.0	
0.09	0.095	0.8837	0.1801	1.0	0.099	0.9374	0.8822	1.0	
0.09	0.1	0.883	0.1714	1.0	0.0938	0.937	0.8816	1.0	
